#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
 1358   843    74  1799  2.79937e+02  0.00000e+00  6.70542e-02  2195
 1358  2636    74     6  2.63864e+01  0.00000e+00 -4.99191e-02  2694
 1358  2634    74     8  5.24221e+01  0.00000e+00  7.08128e-02  2127
 1358  2614    74    28  2.57000e+01  0.00000e+00  7.03223e-02  1845
 1358  2640    74     2  3.97046e+01  0.00000e+00  5.43640e-02  2389
 1358  2555    74    87  5.23209e+01  0.00000e+00  6.88681e-02  1911
 1358  2636    74     6  1.74234e+01  0.00000e+00  5.74588e-02  1845
 1358  2636    74     6  1.26214e+01  0.00000e+00  6.44575e-02  2173
 1358  2599    74    43  5.30143e+01  0.00000e+00 -4.91273e-02   435
 1358  2595    74    47  2.39563e+01  0.00000e+00 -5.66465e-02   175
