#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
  332   640    20     4  6.35337e+00  0.00000e+00  1.22847e-01   337
  332   644    20     0  3.47669e+00  0.00000e+00  1.16030e-01   657
  332   644    20     0  1.05622e+00  0.00000e+00 -1.23221e-01   111
  332   644    20     0  1.32456e+00  0.00000e+00 -7.70074e-02   111
  332   644    20     0  1.08135e+00  0.00000e+00 -1.04944e-01    91
  332   644    20     0  1.06335e+00  0.00000e+00  6.36223e-02   136
  332   644    20     0  1.14408e+00  0.00000e+00 -7.03796e-02   111
  332   644    20     0  1.10194e+00  0.00000e+00 -5.73924e-02    91
  332   644    20     0  1.22665e+00  0.00000e+00 -4.48793e-02    91
  332   644    20     0  1.23878e+00  0.00000e+00  4.16589e-02   453
