#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
  332   640    20     4  5.86005e+00  0.00000e+00  1.14897e-01   471
  332   644    20     0  1.21805e+00  0.00000e+00 -9.95102e-02    91
  332   644    20     0  1.31635e+00  0.00000e+00  7.60100e-02   471
  332   640    20     4  5.68269e+00  0.00000e+00 -6.96668e-02    55
  332   644    20     0  4.46678e+00  0.00000e+00 -6.84393e-02    75
  332   644    20     0  1.19087e+00  0.00000e+00 -6.21162e-02   111
  332   644    20     0  1.20209e+00  0.00000e+00 -5.31553e-02   111
  332   644    20     0  1.17811e+00  0.00000e+00  4.61223e-02   471
  332   644    20     0  1.13685e+00  0.00000e+00 -4.47621e-02    91
  332   644    20     0  1.15180e+00  0.00000e+00 -3.66609e-02    55
