#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
  182   354    10     0  7.83359e-01  0.00000e+00  1.95087e-01    37
  182   354    10     0  4.75340e-01  0.00000e+00  2.25610e-01    69
  182   354    10     0  5.03438e-01  0.00000e+00  1.73397e-01    37
  182   354    10     0  5.11554e-01  0.00000e+00  1.56310e-01    37
  182   354    10     0  5.18451e-01  0.00000e+00  1.46446e-01    37
  182   354    10     0  4.63618e-01  0.00000e+00  1.36159e-01    37
  182   354    10     0  4.97798e-01  0.00000e+00  9.87641e-02    69
  182   354    10     0  5.55223e-01  0.00000e+00  8.27118e-02   337
  182   354    10     0  4.75745e-01  0.00000e+00 -8.45157e-02   279
  182   354    10     0  5.41820e-01  0.00000e+00  6.87737e-02   347
