#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
  182   354    10     0  5.13501e-01  0.00000e+00  2.44543e-01   133
  182   354    10     0  5.34021e-01  0.00000e+00  1.47715e-01   133
  182   354    10     0  5.16551e-01  0.00000e+00  1.90744e-01    69
  182   354    10     0  5.07168e-01  0.00000e+00  1.72040e-01    69
  182   354    10     0  5.21056e-01  0.00000e+00  1.41120e-01    69
  182   354    10     0  5.36474e-01  0.00000e+00  1.12321e-01    37
  182   354    10     0  5.35874e-01  0.00000e+00  1.00958e-01   347
  182   354    10     0  5.40562e-01  0.00000e+00  7.84934e-02    37
  182   354    10     0  5.58038e-01  0.00000e+00 -8.34133e-02   169
  182   354    10     0  5.46104e-01  0.00000e+00 -6.77910e-02   171
